route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7748,
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2020-05-01,202005,SAT.,0,
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2020-05-01,202005,SUN.,0,
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.8526,
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.6676,
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0.6325,
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0.6404,
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7455,
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7793,
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0,
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0,
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.7133,
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.724,
